State,Population,AreaInSqKm,DensityPerSqKm
Utter Pradesh,12233,943233,8438
Maharashtra,939943,488483,8454
Madhya Pradesh,8373473,4543,454
Bihar,34555,13545,323
Rajasthan,132384433,134534543,34543
Andhra Pradesh,34534534,1343453,3454
Gujarat,1243444,71234,34534
Panjab,1224344,34534545,34543
Meghalaya,334344,45345342,3533
Nagaland,2534534,345345,2234
Goa,3323433,3453443,3453
Mirzapur,2434234,11154544,2344
Sikkim,224243434,34535434,34534
Mizoram,3352234,365465,3464
Assam,364564564,53645,3454
Hariyana,7456456,74555,3345
Jammu and Kashmir,11111111,3434534535,6785
